presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan
1,1992,1,6,1,2,11,3,2
1,1957,1,3,1,3,1,3,2
1,1978,2,5,1,1,11,3,2
1,1991,3,6,1,3,10,3,1
6,1991,1,6,1,1,11,3,2
2,1955,1,5,7,4,11,3,2
1,1968,2,2,2,2,11,3,2
1,1947,1,6,1,2,9,3,2
1,1947,2,5,1,3,2,3,2
1,1950,1,6,1,1,2,3,2
1,1949,2,5,2,1,12,1,2
1,1969,2,6,1,1,9,1,2
1,1961,2,5,2,2,1,8,2
2,1965,2,4,6,4,11,1,1
1,1974,1,6,1,3,9,1,1
2,1988,2,6,3,2,1,8,2
2,1978,2,4,1,4,1,3,2
6,1998,1,3,1,2,9,2,2
1,1981,2,3,2,1,1,3,2
6,1961,2,3,3,2,11,3,2
2,1985,1,6,1,1,2,3,2
2,1957,1,2,1,4,11,3,2
1,1968,1,5,1,2,9,1,2
2,1986,2,6,1,1,5,3,2
2,1948,1,5,1,2,1,3,2
1,1977,1,5,1,2,11,3,2
1,1981,2,6,2,2,10,3,1
6,1964,2,3,2,3,1,3,1
1,1973,1,6,1,2,9,3,2
1,1968,1,5,1,1,5,3,2
2,1957,1,3,1,4,1,3,2
1,1985,1,5,1,1,11,3,1
1,1988,2,5,1,1,10,3,1
6,1939,1,4,1,2,1,3,2
1,1956,1,1,1,1,11,3,2
2,1989,2,2,1,1,5,3,2
6,1982,2,1,1,3,11,3,2
5,1983,2,3,1,4,10,1,2
6,1990,2,2,1,4,12,3,2
2,1970,2,4,1,4,1,3,2
1,1959,2,5,1,4,11,3,2
1,1972,2,2,1,2,1,3,2
6,1978,2,2,1,1,1,2,2
1,1969,1,5,1,3,9,1,2
1,1967,1,5,5,2,1,3,2
2,1959,2,2,1,4,1,3,2
1,1989,2,4,3,1,11,3,2
2,1968,2,4,1,3,3,3,2
2,1972,2,5,3,3,1,3,2
2,1943,1,3,6,4,1,1,2
2,1953,1,3,1,4,12,2,2
2,1961,1,3,1,4,12,8,2
2,1950,1,4,1,3,2,3,2
5,1978,2,5,1,3,2,3,2
2,1943,1,3,1,2,1,3,2
1,1986,2,2,1,4,12,3,2
6,1989,2,4,1,2,10,3,2
1,1998,2,5,1,2,5,3,1
1,1970,2,6,1,4,5,2,2
1,1990,2,5,2,2,1,3,1
2,1968,2,3,1,1,2,2,2
6,1957,2,2,2,2,12,3,2
2,1998,2,4,1,2,2,2,2
6,1989,2,4,3,1,2,8,2
2,1949,1,5,1,3,1,1,2
1,1987,2,3,1,2,10,1,1
6,1997,2,3,5,4,12,3,1
1,1951,2,2,2,4,1,NA,NA
1,1968,2,5,1,4,10,2,2
2,1933,2,2,1,3,3,3,2
2,1964,2,2,1,4,1,2,2
1,1988,3,2,6,2,9,3,2
1,1963,2,6,1,3,11,3,2
6,1982,2,6,4,2,8,3,2
2,1952,2,3,1,3,1,1,2
1,1947,2,3,2,1,1,3,2
2,1987,2,4,1,3,1,1,2
3,1989,2,3,1,4,1,1,2
2,1974,1,3,1,4,11,1,2
1,1976,2,4,1,3,9,3,1
1,1960,1,4,1,3,11,1,2
2,1965,2,6,1,2,1,3,1
6,1997,1,5,3,2,9,3,1
1,1950,2,2,1,3,11,2,2
2,1976,1,4,1,3,10,3,2
2,1961,1,4,1,4,1,8,2
