voted_for,age_group,gender,education,race,religion,household_gun_ownership,student_loan_status
Biden,30-44,Male,Post-grad,White,None,No,No
Biden,65+,Male,Some college,White,Protestant,No,No
Biden,30-44,Female,4-year,White,None,No,No
Biden,30-44,Other,Post-grad,White,Agnostic,No,Yes
Trump,65+,Male,4-year,Multiracial,None,No,No
Biden,45-64,Female,High school graduate,Black,None,No,No
Biden,65+,Male,Post-grad,White,Atheist,No,No
Biden,65+,Female,4-year,White,Roman Catholic,No,No
Biden,65+,Male,Post-grad,White,Roman Catholic,No,No
Biden,65+,Female,4-year,Black,Other,Yes,No
Biden,45-64,Female,Post-grad,White,Atheist,Yes,No
Biden,45-64,Female,4-year,Black,Protestant,Unsure,No
Trump,45-64,Female,2-year,Middle Eastern,None,Yes,Yes
Biden,45-64,Male,Post-grad,White,Atheist,Yes,Yes
Trump,30-44,Female,Post-grad,Hispanic,Protestant,Unsure,No
Trump,30-44,Female,2-year,White,Protestant,No,No
Biden,30-44,Female,Some college,Black,Protestant,No,No
Trump,30-44,Male,Post-grad,White,Roman Catholic,No,No
Trump,65+,Male,High school graduate,White,None,No,No
Biden,45-64,Male,4-year,White,Atheist,Yes,No
Trump,30-44,Female,Post-grad,White,Jewish,No,No
Trump,65+,Male,4-year,White,Protestant,No,No
Biden,45-64,Male,4-year,White,None,No,No
Biden,30-44,Female,Post-grad,Black,Agnostic,No,Yes
Biden,45-64,Male,Post-grad,White,Atheist,No,No
Biden,45-64,Male,4-year,White,Jewish,No,No
Trump,65+,Male,Some college,White,Protestant,No,No
Biden,30-44,Male,4-year,White,None,No,Yes
Biden,30-44,Female,4-year,White,Agnostic,No,Yes
Biden,65+,Male,No HS,White,None,No,No
Trump,30-44,Female,High school graduate,White,Jewish,No,No
Trump,45-64,Female,2-year,White,Protestant,No,No
Biden,45-64,Female,4-year,White,None,No,No
Biden,45-64,Female,High school graduate,White,Protestant,No,No
Biden,45-64,Male,4-year,White,Atheist,Yes,No
Biden,45-64,Male,4-year,Native American,Protestant,No,No
Trump,45-64,Female,High school graduate,White,Protestant,No,No
Biden,30-44,Female,2-year,Hispanic,None,No,No
Trump,45-64,Female,2-year,White,Other,No,No
Trump,45-64,Female,4-year,Hispanic,Protestant,No,No
Trump,65+,Male,Some college,Middle Eastern,Protestant,Yes,No
Trump,65+,Male,Some college,White,Other,Yes,No
Trump,45-64,Male,Some college,White,Other,Unsure,No
Trump,65+,Male,2-year,White,Roman Catholic,No,No
Trump,65+,Male,Some college,White,Protestant,No,No
Biden,30-44,Female,High school graduate,White,Other,No,No
Biden,18-29,Female,4-year,White,Jewish,No,Yes
Biden,45-64,Female,Post-grad,White,Jewish,Yes,No
Biden,30-44,Female,4-year,Black,Protestant,No,Yes
Trump,45-64,Female,Some college,White,Roman Catholic,Yes,No
Trump,18-29,Female,2-year,White,Roman Catholic,Yes,No
Trump,65+,Male,4-year,White,Protestant,Yes,No
Biden,30-44,Female,Some college,White,Agnostic,Yes,Yes
Biden,45-64,Female,4-year,White,Agnostic,Yes,No
Trump,65+,Female,High school graduate,White,Other,No,No
Trump,45-64,Female,High school graduate,White,Protestant,Yes,No
Biden,30-44,Other,High school graduate,Middle Eastern,Atheist,No,No
Biden,45-64,Female,Post-grad,White,None,No,No
Trump,65+,Female,Some college,White,Protestant,Yes,No
Biden,65+,Female,Some college,Black,Protestant,No,No
Trump,30-44,Female,2-year,White,Protestant,Yes,No
Trump,45-64,Male,Some college,White,None,Yes,No
Biden,45-64,Female,2-year,White,Atheist,No,Yes
Biden,45-64,Male,2-year,White,None,Yes,No
Trump,45-64,Female,Post-grad,White,Protestant,No,Yes
Biden,65+,Female,High school graduate,White,None,Yes,No
Trump,45-64,Male,2-year,White,Agnostic,No,No
Trump,45-64,Male,2-year,White,Protestant,Unsure,No
Trump,45-64,Male,High school graduate,White,Protestant,Unsure,No
Biden,45-64,Male,2-year,White,Atheist,Yes,No
Biden,65+,Female,2-year,Hispanic,Other,No,No
Biden,65+,Male,2-year,White,Agnostic,Yes,No
Trump,45-64,Male,2-year,Multiracial,Protestant,Yes,No
Biden,65+,Female,Some college,Middle Eastern,None,No,No
Biden,45-64,Female,4-year,White,Other,Yes,Yes
Biden,45-64,Male,Some college,White,Agnostic,No,No
Biden,30-44,Female,4-year,White,None,No,No
Trump,30-44,Male,No HS,White,Other,No,No
Biden,18-29,Female,Post-grad,White,Protestant,No,Yes
Biden,30-44,Male,2-year,White,Other,Yes,Yes
Biden,45-64,Male,4-year,White,Other,No,No
Biden,65+,Female,High school graduate,White,Roman Catholic,No,No
Trump,45-64,Female,4-year,White,Protestant,Yes,No
